URL,Size (Bytes),# of Outlinks,Content Type
https://www.usatoday.com/story/news/health/2019/04/08/cbd-marketers-cannabidiol-claim-hemp-derived-product-works/3374793002/,132978,147,text/html
https://www.usatoday.com/videos/news/world/2014/09/26/16288081/,151407,106,text/html
https://www.usatoday.com/sports/ncaab/polls/coaches-poll/2019-2020/2019-12-16/,104068,160,text/html
https://www.usatoday.com/story/life/tv/columnist/criticscorner/2016/08/15/august-15-critics-corner/88534470/,104386,131,text/html
https://www.usatoday.com/sitemap/2013/october/17/,194828,307,text/html
https://www.usatoday.com/story/travel/experience/2020/02/13/zero-gravity-flights-coming-los-angeles-atlanta-las-vegas-more/4752180002/,119693,139,text/html
https://www.usatoday.com/story/news/nation/2020/02/22/planking-guinness-world-record-george-hood-planks-over-8-hours/4843741002/,113939,138,text/html
https://www.usatoday.com/videos/virtual-reality/vrtually-there/2017/06/15/magic-sky-behind-scenes-skywriter-vr/102831736/,223387,135,text/html
https://www.usatoday.com/story/news/2018/03/13/gina-haspel-trump-nominee-first-woman-leader-cia/419547002/,117418,137,text/html
https://www.usatoday.com/story/news/nation/2016/07/18/3-officers-shot-and-killed-baton-rouge/87239118/,133760,142,text/html
https://www.usatoday.com/sitemap/2018/june/,155797,136,text/html
https://www.usatoday.com/sports/ncaab/sagarin/2003/team/,364114,289,text/html
https://www.usatoday.com/story/sports/nfl/steelers/2013/06/04/michael-adams-stabbing-arrest/2388129/,108542,132,text/html
https://www.usatoday.com/story/life/tv/2013/06/03/the-voice-june-3/2385227/,112850,132,text/html
https://www.usatoday.com/sitemap/2018/september/12/,202257,308,text/html
https://www.usatoday.com/videos/news/nation/2013/06/04/2386407/,150967,106,text/html
https://www.usatoday.com/sitemap/2017/november/19/,202230,308,text/html
https://www.usatoday.com/story/news/nation/2013/05/31/missing-ind-students-parents-say-they-wont-give-up-search/2378845/,114969,133,text/html
https://www.usatoday.com/story/sports/nfl/ravens/2013/03/07/joe-flacco-2012-negotiations-1-million-apart/1970287/,107576,134,text/html
https://www.usatoday.com/story/sports/wnba/2020/02/14/wings-get-former-uconn-player-samuelson-from-sky-for-stevens/111323640/,102412,131,text/html
https://www.usatoday.com/story/news/politics/2020/02/05/justice-department-look-possible-civil-rights-violations-mississippi/4673128002/,118055,143,text/html
https://www.usatoday.com/sitemap/2013/march/7/?page=2,188447,280,text/html
https://www.usatoday.com/sitemap/2018/june/21/,202165,309,text/html
https://www.usatoday.com/story/news/politics/2018/09/05/brett-kavanaugh-his-views-key-issues-facing-supreme-court/1201261002/,125078,142,text/html
https://www.usatoday.com/story/tech/2019/11/07/nintendo-switch-game-super-smash-bros-ultimate-best-seller/2507279001/,110332,140,text/html
https://www.usatoday.com/story/life/entertainthis/2016/12/19/rogue-one-star-wars-movie-quotes/95591848/,115111,130,text/html
https://www.usatoday.com/story/sports/nfl/2013/12/12/jarrett-bell-patriots-rob-gronkowski/4005353/,113196,135,text/html
https://www.usatoday.com/sitemap/2018/december/14/,202537,308,text/html
https://www.usatoday.com/story/life/2017/02/04/look-ahead-week-of-feb-5/97106898/,107024,130,text/html
https://www.usatoday.com/sitemap/2017/august/24/,202149,309,text/html
https://www.usatoday.com/story/news/politics/elections/2019/05/14/when-are-the-2020-presidential-primaries/1158275001/,112894,134,text/html
